class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&man->alloc_queue:,0,0,0,0,0,0,70,145,0.17,1,53.4,0.37
&dev_priv->cursor_lock:,0,0,0,0,0,0,13,67,0.15,1.15,38.83,0.58
&tty->winsize_mutex:,0,0,0,0,0,0,11,20,0.16,13.31,22.25,1.11
console_work:,0,0,0,0,0,0,0,8,5.14,6.44,46.2,5.77
&type->s_vfs_rename_key:,0,0,0,0,0,0,1,2,5.36,843.09,848.45,424.22
&type->i_mutex_dir_key#6/2:,0,0,0,0,0,0,1,2,4.34,842.51,846.85,423.42
&tty->legacy_mutex/1:,0,0,0,0,0,0,1,2,3.28,4.06,7.34,3.67
&o_tty->termios_rwsem/1-W:,0,0,0,0,0,0,0,4,2.13,2.82,9.46,2.37
&o_tty->termios_rwsem/1-R:,0,0,0,0,0,0,12,52,0.12,58.75,527.07,10.14
&port->buf.lock/1:,0,0,0,0,0,0,3,4,22.92,32.39,110.43,27.61
(work_completion)(&buf->work):,0,0,0,0,0,0,0,2479,0.07,40.84,646.73,0.26
&port->lock:,0,0,0,0,0,0,7,61,0.15,1.12,19.51,0.32
&ldata->atomic_read_lock:,0,0,0,0,0,0,2,33,1.41,73.64,166.75,5.05
