class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
console_work:,0,0,0,0,0,0,0,8,4.99,7.93,46.44,5.81
timekeeper_lock:,0,0,0,0,0,0,6173,21070,0.22,34.84,28406.96,1.35
&o_tty->termios_rwsem/1-W:,0,0,0,0,0,0,0,4,2.2,3.33,10.85,2.71
&o_tty->termios_rwsem/1-R:,0,0,0,0,0,0,258,387,0.13,526.08,10961.54,28.32
&port->buf.lock/1:,0,0,0,0,0,0,4,4,17.26,30.5,104,26
(work_completion)(&buf->work):,0,0,0,0,0,0,0,16211,0.07,59.86,13256.66,0.82
&port->lock:,0,0,0,0,0,0,256,382,0.39,1.7,302.11,0.79
&ldata->atomic_read_lock:,0,0,0,0,0,0,2,1086,1.47,17.15,3194.68,2.94
key#1:,0,0,0,0,0,0,57,207,0.16,1.17,70.97,0.34
logbuf_lock:,0,0,0,0,0,0,2,70,0.18,995.25,2029.24,28.99
mmlist_lock:,0,0,0,0,0,0,4,4,0.47,1.13,2.67,0.67
key#1:,0,0,0,0,0,0,34,42,0.26,0.8,19.59,0.47
kn->active#3-R:,0,0,0,0,0,0,0,2,3,6.31,9.31,4.66
(&req->rsk_timer):,0,0,0,0,0,0,0,900,0.09,0.89,122.83,0.14
(console_sem).lock:,0,0,0,0,0,0,0,16,0.14,0.81,5.02,0.31
cgroup_mutex:,0,0,0,0,0,0,5,11,0.88,92.68,250.67,22.79
