class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
kn->active#1:,0,0,0,0,0,0,1,1,0.27,0.27,0.27,0.27
kn->active#1:,0,0,0,0,0,0,1,1,0.3,0.3,0.3,0.3
&root->deactivate_waitq:,0,0,0,0,0,0,3,5,0.21,0.3,1.17,0.23
kn->active#1:,0,0,0,0,0,0,4,4,0.14,0.93,1.45,0.36
kn->active#1:,0,0,0,0,0,0,4,4,0.13,0.21,0.69,0.17
kn->active#1:,0,0,0,0,0,0,4,4,0.13,0.21,0.68,0.17
kn->active#1:,0,0,0,0,0,0,1,1,0.55,0.55,0.55,0.55
kn->active#1:,0,0,0,0,0,0,1,1,0.28,0.28,0.28,0.28
kn->active#1:,0,0,0,0,0,0,1,1,0.34,0.34,0.34,0.34
kn->active#1:,0,0,0,0,0,0,1,1,0.56,0.56,0.56,0.56
kn->active#1:,0,0,0,0,0,0,1,1,0.41,0.41,0.41,0.41
kn->active#1:,0,0,0,0,0,0,1,1,0.56,0.56,0.56,0.56
kn->active#1:,0,0,0,0,0,0,1,1,0.3,0.3,0.3,0.3
kn->active#1:,0,0,0,0,0,0,1,1,0.27,0.27,0.27,0.27
kn->active#1:,0,0,0,0,0,0,1,1,0.83,0.83,0.83,0.83
kn->active#1:,0,0,0,0,0,0,1,1,0.13,0.13,0.13,0.13
kn->active#1:,0,0,0,0,0,0,1,1,0.45,0.45,0.45,0.45
kn->active#1:,0,0,0,0,0,0,1,1,0.22,0.22,0.22,0.22
kn->active#1:,0,0,0,0,0,0,1,1,0.23,0.23,0.23,0.23
kn->active#1:,0,0,0,0,0,0,1,1,0.34,0.34,0.34,0.34
kn->active#1:,0,0,0,0,0,0,1,1,0.2,0.2,0.2,0.2
kn->active#1:,0,0,0,0,0,0,1,1,0.13,0.13,0.13,0.13
kn->active#1:,0,0,0,0,0,0,1,1,0.17,0.17,0.17,0.17
kn->active#1:,0,0,0,0,0,0,1,1,0.2,0.2,0.2,0.2
kn->active#1:,0,0,0,0,0,0,1,1,0.19,0.19,0.19,0.19
kn->active#1:,0,0,0,0,0,0,1,1,0.31,0.31,0.31,0.31
kn->active#1:,0,0,0,0,0,0,1,1,0.14,0.14,0.14,0.14
kn->active#1:,0,0,0,0,0,0,1,1,0.21,0.21,0.21,0.21
kn->active#1:,0,0,0,0,0,0,1,1,0.14,0.14,0.14,0.14
kn->active#1:,0,0,0,0,0,0,1,1,0.21,0.21,0.21,0.21
kn->active#1:,0,0,0,0,0,0,1,1,0.41,0.41,0.41,0.41
kn->active#1:,0,0,0,0,0,0,1,1,0.32,0.32,0.32,0.32
kn->active#1:,0,0,0,0,0,0,1,1,0.36,0.36,0.36,0.36
&type->s_umount_key#3-R:,0,0,0,0,0,0,0,11,1170.44,23700.9,86288.19,7844.38
key#8:,0,0,0,0,0,0,6,10,0.45,1.24,7.74,0.77
key#9:,0,0,0,0,0,0,309,473,0.18,2.42,306.7,0.65
key#1:,0,0,0,0,0,0,154,221,0.19,1.01,80.71,0.37
(&sdp->delay_work):,0,0,0,0,0,0,0,1,22.34,22.34,22.34,22.34
key#1:,0,0,0,0,0,0,331,1870,0.15,12.5,555.38,0.3
sb_internal-R:,0,0,0,0,0,0,0,1112,7.52,505.61,23333.06,20.98
jbd2_handle-W:,0,0,0,0,0,0,0,2,0.22,0.23,0.45,0.23
jbd2_handle-R:,0,0,0,0,0,0,0,79373,0.62,8394.13,584839.16,7.37
&ret->b_state_lock:,0,0,0,0,0,0,659,1977,0.15,14.43,1752.92,0.89
tk_core.seq.seqcount-W:,0,0,0,0,0,0,0,23465,0.25,32.81,14536.38,0.62
tk_core.seq.seqcount-R:,0,0,0,0,0,0,0,1031820,0.05,180.37,146350.33,0.14
&journal->j_revoke_lock:,0,0,0,0,0,0,17,18,0.33,0.96,8.66,0.48
&ei->i_raw_lock:,0,0,0,0,0,0,4575,69644,0.28,72.85,35574.21,0.51
(&journal->j_commit_timer):,0,0,0,0,0,0,0,20,0.2,19.5,64.04,3.2
&transaction->t_handle_lock:,0,0,0,0,0,0,15,29,0.31,1.96,23.72,0.82
&journal->j_wait_transaction_locked:,0,0,0,0,0,0,8,19,0.31,21.28,46.19,2.43
&sbi->s_md_lock:,0,0,0,0,0,0,312,749,0.1,2.77,273.66,0.37
&journal->j_fc_wait:,0,0,0,0,0,0,6,17,0.29,1.01,7.96,0.47
&journal->j_history_lock:,0,0,0,0,0,0,6,17,0.27,0.46,5.66,0.33
&sbi->s_orphan_lock:,0,0,0,0,0,0,659,2888,0.25,480.9,2968.83,1.03
&ei->i_prealloc_lock:,0,0,0,0,0,0,1201,3097,0.12,10.45,1088.13,0.35
&sbi->s_writepages_rwsem-R:,0,0,0,0,0,0,0,916,0.19,21681.65,204164.86,222.89
(work_completion)(&cgrp->bpf.release_:,0,0,0,0,0,0,0,5,2.55,4.82,15.84,3.17
(wq_completion)cgroup_destroy:,0,0,0,0,0,0,0,15,1.11,176.99,506.45,33.76
(work_completion)(&css->destroy_work):,0,0,0,0,0,0,0,3,1.53,176.64,181.06,60.35
&memcg->event_list_lock:,0,0,0,0,0,0,1,1,0.42,0.42,0.42,0.42
percpu_charge_mutex:,0,0,0,0,0,0,0,1,33.17,33.17,33.17,33.17
&cgrp->offline_waitq:,0,0,0,0,0,0,3,3,0.14,0.42,0.73,0.24
(work_completion)(&css->destroy_wor#2:,0,0,0,0,0,0,0,6,0.95,63.07,69.32,11.55
key_gc_work:,0,0,0,0,0,0,0,3,3.56,16012.35,32026.05,10675.35
(work_completion)(&(&css->destroy_rwo:,0,0,0,0,0,0,0,6,2.19,120.18,252.68,42.11
&cgrp->pidlist_mutex:,0,0,0,0,0,0,4,4,0.13,0.34,0.95,0.24
(wq_completion)cgroup_pidlist_destroy:,0,0,0,0,0,0,0,4,0.09,0.64,1.06,0.27
cgroup_rstat_lock:,0,0,0,0,0,0,1,2,45.61,60.39,106,53
sb_pagefaults-R:,0,0,0,0,0,0,0,53,1.4,28.12,228.3,4.31
key#1:,0,0,0,0,0,0,85,1048,0.12,1.35,232.39,0.22
key#1:,0,0,0,0,0,0,50,539,0.13,21.08,187.88,0.35
&ei->i_completed_io_lock:,0,0,0,0,0,0,846,1032,0.12,58.78,6336.65,6.14
&rq_wait->wait:,0,0,0,0,0,0,9,36,0.22,30.52,164.81,4.58
(wq_completion)ext4-rsv-conversion:,0,0,0,0,0,0,0,515,8.24,5181.54,52880.86,102.68
(work_completion)(&ei->i_rsv_conversi:,0,0,0,0,0,0,0,515,8.07,5180.44,52577.98,102.09
&journal->j_wait_reserved:,0,0,0,0,0,0,85,517,0.15,12.33,268.31,0.52
&ext4__ioend_wq[i]:,0,0,0,0,0,0,291,513,0.13,1.16,188.95,0.37
&dev->mode_config.idr_mutex:,0,0,0,0,0,0,1053,5243,0.18,46.95,4651.11,0.89
crtc_ww_class_acquire:,0,0,0,0,0,0,0,2596,21.42,9079.71,372065.79,143.32
key#5:,0,0,0,0,0,0,37,38,0.37,1.06,21.35,0.56
&dev->vbl_lock:,0,0,0,0,0,0,204,1269,0.15,1.23,431.48,0.34
&dev_priv->waiter_lock:,0,0,0,0,0,0,2253,4446,1.15,36.77,11567.45,2.6
&wq:,0,0,0,0,0,0,0,1226,0.14,12.53,575.83,0.47
key#4:,0,0,0,0,0,0,29,41,0.23,1.09,20.94,0.51
key#3:,0,0,0,0,0,0,17,25,0.45,1.14,15.22,0.61
&man->cur_mutex:,0,0,0,0,0,0,5270,15571,0.24,198.9,178292.13,11.45
key#2:,0,0,0,0,0,0,472,1972,0.13,13.58,622.73,0.32
&dev->mode_config.mutex:,0,0,0,0,0,0,3966,5257,0.29,25.19,5748.95,1.09
&ei->i_mmap_sem-W:,0,0,0,0,0,0,227,333,10.82,108.89,8495.6,25.51
&ei->i_mmap_sem-R:,0,0,0,0,0,0,12940,103994,0.44,126.94,63158.36,0.61
&dev_priv->resource_lock:,0,0,0,0,0,0,4609,252445,0.1,123.05,42816.53,0.17
&dev->mode_config.fb_lock:,0,0,0,0,0,0,11,73,0.14,1.1,28.65,0.39
&dev->mode_config.blob_lock:,0,0,0,0,0,0,204,2538,0.15,12.3,1104.36,0.44
&crtc->commit_lock:,0,0,0,0,0,0,1049,7782,0.12,67.15,2165.74,0.28
