class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&adapter->stats_lock:,0,0,0,0,0,0,0,26,558.06,732.12,15374.87,591.34
dev_addr_sem-R:,0,0,0,0,0,0,2,16,0.29,1.33,6.87,0.43
clock-AF_INET:,0,0,0,0,0,0,0,16,0.12,0.5,2.9,0.18
_xmit_ETHER#2:,0,0,0,0,0,0,0,10,0.52,1.63,8.69,0.87
&tty->ctrl_lock:,0,0,0,0,0,0,2,16,0.12,2.69,9.66,0.6
&tdev->object_lock:,0,0,0,0,0,0,2062,6901,0.13,23.62,8372.19,1.21
timekeeper_lock:,0,0,0,0,0,0,4432,9681,0.18,30.78,11489.75,1.19
&man->space_mutex:,0,0,0,0,0,0,824,2587,0.55,79.8,4265.11,1.65
&man->alloc_queue:,0,0,0,0,0,0,718,2587,0.16,14.82,859.9,0.33
&uctx->cotable_lock:,0,0,0,0,0,0,0,48,0.11,0.51,8.23,0.17
&(&bdev->wq)->timer:,0,0,0,0,0,0,0,24,1.46,10.72,181.72,7.57
(work_completion)(&(&bdev->wq)->work):,0,0,0,0,0,0,0,24,1.17,167.53,1207.21,50.3
&dev_priv->cursor_lock:,0,0,0,0,0,0,116,1951,0.13,20.72,1217.87,0.62
&(&tbl->gc_work)->timer:,0,0,0,0,0,0,0,6,0.98,17.81,35.11,5.85
(work_completion)(&(&tbl->gc_work)->w:,0,0,0,0,0,0,0,6,0.91,9.42,19.64,3.27
(&dev->watchdog_timer):,0,0,0,0,0,0,0,10,5.21,9.38,68.73,6.87
&rman->lock:,0,0,0,0,0,0,8,12,0.6,1.69,12.78,1.07
&ids->rwsem-W:,0,0,0,0,0,0,27,70,0.48,28.16,318.09,4.54
&ids->rwsem-R:,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5
&new->lock:,0,0,0,0,0,0,29,130,0.11,2.88,54.34,0.42
&type->s_umount_key#5-R:,0,0,0,0,0,0,0,3,789.19,3077.79,6156.35,2052.12
arch/x86/kernel/check.c:165:,0,0,0,0,0,0,0,1,6.38,6.38,6.38,6.38
&tty->winsize_mutex:,0,0,0,0,0,0,2,6,0.14,0.78,2.85,0.48
console_work:,0,0,0,0,0,0,0,67,2.45,18.29,367.58,5.49
&prime->mutex:,0,0,0,0,0,0,15,24,0.28,33.34,252.64,10.53
&db_list.lock:,0,0,0,0,0,0,21,24,0.25,0.94,11.26,0.47
&lock->wait_lock#2:,0,0,0,0,0,0,6,20,0.24,3,23.13,1.16
&o_tty->termios_rwsem/1-W:,0,0,0,0,0,0,0,2,2.83,3.48,6.31,3.16
&o_tty->termios_rwsem/1-R:,0,0,0,0,0,0,5,21,0.13,32.79,208.63,9.93
&port->buf.lock/1:,0,0,0,0,0,0,1,3,29.27,34.81,98.19,32.73
(work_completion)(&buf->work):,0,0,0,0,0,0,0,1641,0.07,36.29,398.86,0.24
&port->lock:,0,0,0,0,0,0,1,7,0.63,1.11,6.08,0.87
&ldata->atomic_read_lock:,0,0,0,0,0,0,1,19,1.51,4.11,49.61,2.61
logbuf_lock:,0,0,0,0,0,0,11,201,0.18,987.64,2132.36,10.61
(console_sem).lock:,0,0,0,0,0,0,2,138,0.12,1.01,40.34,0.29
key#1:,0,0,0,0,0,0,1,1,0.72,0.72,0.72,0.72
cgroup_mutex:,0,0,0,0,0,0,18,53,2.29,237.11,2392.39,45.14
