class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
ptlock_ptr(page):,1,1,0.19,0.19,0.19,0.19,841,7957,0.12,14.56,2795.3,0.35
&sbi->s_es_lock:,1,1,0.3,0.3,0.3,0.3,194,621,0.14,18.58,292.15,0.47
&new_ns->ns_lock:,1,1,0.21,0.21,0.21,0.21,135,11625,0.12,66.44,2906.55,0.25
css_set_lock:,1,1,0.49,0.49,0.49,0.49,434,2623,0.14,33.54,3299.54,1.26
key#1:,1,1,0.3,0.3,0.3,0.3,55,331,0.13,13.11,112.48,0.34
&journal->j_list_lock:,1,1,0.16,0.16,0.16,0.16,533,7163,0.09,33.28,2690.89,0.38
&glob->lru_lock:,1,1,10.98,10.98,10.98,10.98,7185,10748,0.1,22.86,3310.47,0.31
&ctx->wqh#2:,1,1,0.49,0.49,0.49,0.49,7150,62134,0.09,130,22541.35,0.36
free_vmap_area_lock:,1,1,1.44,1.44,1.44,1.44,391,1350,0.35,57.72,5911.23,4.38
cpa_lock:,0,0,0,0,0,0,8,51,0.14,1.56,25.28,0.5
pcpu_lock:,0,0,0,0,0,0,13,259,0.3,17.3,346.08,1.34
purge_vmap_area_lock:,0,0,0,0,0,0,262,1012,0.18,25.6,1967.33,1.94
vmap_purge_lock:,0,0,0,0,0,0,8,18,20.61,145.9,1123.05,62.39
pcpu_alloc_mutex:,0,0,0,0,0,0,13,259,0.57,18.2,490.54,1.89
pgd_lock:,0,0,0,0,0,0,40,79,0.13,2.68,77.24,0.98
&irq_desc_lock_class:,0,0,0,0,0,0,68,33492,0.11,173.78,40361.2,1.21
vmap_area_lock:,0,0,0,0,0,0,427,6029,0.11,84.77,4538.21,0.75
batched_entropy_u64.lock:,0,0,0,0,0,0,0,774,0.11,31.4,517.14,0.67
cpu_hotplug_lock-R:,0,0,0,0,0,0,0,83,0.22,99.29,1485.98,17.9
